TRANSACTION_ID;CONTAINER_ID;RECORDED_AT;NEXT_RECORDED_AT;INTERVAL;LEVEL_DIFF
27299;1001101101999991211;2024-04-30 06:56:18;2024-04-30 07:53:48;0 days 00:57:30;-30.0
27298;1001101101999991111;2024-04-30 06:56:24;2024-04-30 07:53:53;0 days 00:57:29;-60.0
27300;1001101101999991311;2024-04-30 06:56:31;2024-04-30 07:53:58;0 days 00:57:27;-50.0
28256;1001101101999991211;2024-05-07 10:27:10;2024-05-07 14:26:53;0 days 03:59:43;50.0
28254;1001101101999991111;2024-05-07 10:27:38;2024-05-07 14:26:07;0 days 03:58:29;30.0
30830;1001101101999991211;2024-05-29 09:38:21;2024-05-29 14:04:01;0 days 04:25:40;10.0
30829;1001101101999991111;2024-05-29 09:38:29;2024-05-29 14:04:09;0 days 04:25:40;10.0
30834;1001101101999991311;2024-05-29 09:38:40;2024-05-29 14:04:17;0 days 04:25:37;-10.0
33392;1001101101999991311;2024-06-18 07:19:46;2024-06-18 10:54:58;0 days 03:35:12;-10.0
49728;1001101101999991111;2024-07-04 07:58:21;2024-07-04 09:20:45;0 days 01:22:24;-70.0
50029;1001101101999991111;2024-07-09 06:22:18;2024-07-09 07:23:14;0 days 01:00:56;-90.0
52180;1001101101999991211;2024-07-29 07:26:57;2024-07-29 10:48:34;0 days 03:21:37;-70.0
52179;1001101101999991111;2024-07-29 07:27:03;2024-07-29 10:48:20;0 days 03:21:17;-100.0
52181;1001101101999991311;2024-07-29 07:27:13;2024-07-29 10:48:11;0 days 03:20:58;-10.0
52364;1001101101999991311;2024-07-29 10:48:11;2024-07-29 13:58:54;0 days 03:10:43;40.0
52362;1001101101999991111;2024-07-29 10:48:20;2024-07-29 13:58:33;0 days 03:10:13;80.0
52363;1001101101999991211;2024-07-29 10:48:34;2024-07-29 13:58:48;0 days 03:10:14;80.0
52964;1001101101999991311;2024-08-01 08:17:20;2024-08-01 09:33:53;0 days 01:16:33;10.0
55581;1001101101100041111;2024-08-22 13:05:54;2024-08-22 15:13:53;0 days 02:07:59;20.0
57296;1001101101100481211;2024-09-09 06:24:52;2024-09-09 16:08:00;0 days 09:43:08;20.0
57401;1001101101999991311;2024-09-09 08:29:52;2024-09-09 09:35:06;0 days 01:05:14;-30.0
57411;1002101101010591311;2024-09-09 10:12:45;2024-09-09 14:47:50;0 days 04:35:05;30.0
57498;1002101101010771311;2024-09-09 13:38:45;2024-09-09 14:32:37;0 days 00:53:52;50.0
57846;1003101101011011311;2024-09-19 12:44:54;2024-09-19 14:17:20;0 days 01:32:26;30.0
59745;1001101101100041211;2024-10-02 07:36:07;2024-10-02 13:04:07;0 days 05:28:00;-10.0
59744;1001101101100041111;2024-10-02 07:36:15;2024-10-02 13:04:00;0 days 05:27:45;-40.0
59756;1001101101100531212;2024-10-02 07:59:41;2024-10-02 14:16:09;0 days 06:16:28;-60.0
59753;1001101101100531111;2024-10-02 07:59:52;2024-10-02 14:15:45;0 days 06:15:53;-50.0
59754;1001101101100531112;2024-10-02 08:00:02;2024-10-02 14:15:53;0 days 06:15:51;-60.0
59757;1001101101100531311;2024-10-02 08:00:12;2024-10-02 14:15:27;0 days 06:15:15;-10.0
59758;1001101101100531312;2024-10-02 08:00:20;2024-10-02 14:15:36;0 days 06:15:16;50.0
59767;1002101101010011311;2024-10-02 08:19:07;2024-10-02 10:39:43;0 days 02:20:36;-80.0
