Name,Description,Coordinates
11_2024-06-18+11_2024-06-18+12_2024-06-18+12_2024-06-18+13_2024-06-18+13_2024-06-18,GEO_Lat: 49.4665444<br>GEO_Long: 7.4548903,"7.4548903,49.4665444,0"
11_2024-06-28+11_2024-06-28+12_2024-06-28+12_2024-06-28+11_2024-06-28+12_2024-06-28,GEO_Lat: 49.4418742<br>GEO_Long: 7.563335100000001,"7.5633351,49.4418742,0"
12_2024-06-28+12_2024-06-28+12_2024-06-28,GEO_Lat: 49.4739652<br>GEO_Long: 7.5871959,"7.5871959,49.4739652,0"
11_2024-07-04,GEO_Lat: 49.8670373<br>GEO_Long: 8.6362965,"8.6362965,49.8670373,0"
11_2024-07-04+11_2024-07-04+11_2024-07-04+12_2024-07-04+12_2024-07-04+12_2024-07-04+13_2024-07-04+13_2024-07-04,GEO_Lat: 49.4499002<br>GEO_Long: 7.5537158,"7.5537158,49.4499002,0"
11_2024-07-09+12_2024-07-09+13_2024-07-09,GEO_Lat: 49.4582246<br>GEO_Long: 7.4753398,"7.4753398,49.4582246,0"
11_2024-07-12+12_2024-07-12,GEO_Lat: 49.4220098<br>GEO_Long: 7.4755452,"7.4755452,49.4220098,0"
11_2024-07-17+12_2024-07-17+13_2024-07-17,GEO_Lat: 49.5046515<br>GEO_Long: 7.7727194,"7.7727194,49.5046515,0"
12_2024-07-18+13_2024-07-18,GEO_Lat: 49.3537314<br>GEO_Long: 7.7752003,"7.7752003,49.3537314,0"
11_2024-07-29+12_2024-07-29+13_2024-07-29,GEO_Lat: 49.475655499999995<br>GEO_Long: 7.6363002,"7.6363002,49.4756555,0"
11_2024-08-08+12_2024-08-08+13_2024-08-08,GEO_Lat: 49.4904051<br>GEO_Long: 7.8559394,"7.8559394,49.4904051,0"
13_2024-09-03+13_2024-09-03,GEO_Lat: 49.3581783<br>GEO_Long: 7.6953715,"7.6953715,49.3581783,0"
13_2024-09-09,GEO_Lat: 49.8848135<br>GEO_Long: 8.6407139,"8.6407139,49.8848135,0"
13_2024-09-09#2,GEO_Lat: 49.8871106<br>GEO_Long: 8.636275,"8.636275,49.8871106,0"
